feedback_id,customer_id,rating,comments
F8001,C1001,4.5,Service at the branch is always efficient and friendly.
F8002,C1002,3.8,"Mobile app is useful, but sometimes buggy during login."
F8003,C1003,2.9,Loan approval took longer than expected.
F8004,C1004,4.7,Great credit card rewards and responsive customer care.
F8005,C1005,3.5,Online banking is decent but interface feels dated.
F8006,C1006,4.2,Branch staff are very professional and knowledgeable.
F8007,C1007,2.5,Had issues with credit limit update not reflecting.
F8008,C1008,4.8,Smooth process for account opening and helpful guidance.
F8009,C1009,3.2,ATM machine was out of service multiple times last month.
F8010,C1010,4,"Good services, but would appreciate faster response on emails."
F8011,C1011,3.9,"App navigation is slightly confusing, but overall good experience."
F8012,C1012,4.6,Quick loan processing and courteous service.
F8013,C1013,2.8,Website loads slowly during peak hours.
F8014,C1014,4.3,Good financial advice offered by staff.
F8015,C1015,3.6,Mixed experience with customer support on weekends.
F8016,C1016,4.7,Easy credit card setup and great rewards.
F8017,C1017,2.7,Had trouble linking accounts in mobile app.
F8018,C1018,4.4,Account manager was helpful and informative.
F8019,C1019,3,Slow response on email queries.
F8020,C1020,4.1,Reliable mobile app and good customer communication.
F8021,C1021,2.6,Difficulties faced with loan documentation.
F8022,C1022,4.9,Fantastic service and seamless transactions.
F8023,C1023,3.3,Chat support was helpful but slow to respond.
F8024,C1024,4.6,Very smooth onboarding and professional support.
F8025,C1025,3.1,Features are useful but documentation needs clarity.
